TOP.65635186.000b3c74	START
TOP.656352de.000a5f07	user_options->hwmon_temp_abort	90
TOP.656352de.000a5f07	user_options->hash_mode	13100
TOP.656352de.000a5f07	user_options->hex_charset	0
TOP.656352de.000a5f07	user_options->hex_salt	0
TOP.656352de.000a5f07	user_options->hex_wordlist	0
TOP.656352de.000a5f07	user_options->hook_threads	8
TOP.656352de.000a5f07	user_options->identify	0
TOP.656352de.000a5f07	user_options->increment	0
TOP.656352de.000a5f07	user_options->increment_max	256
TOP.656352de.000a5f07	user_options->increment_min	1
TOP.656352de.000a5f07	user_options->keep_guessing	0
TOP.656352de.000a5f07	user_options->kernel_accel	0
TOP.656352de.000a5f07	user_options->kernel_loops	0
TOP.656352de.000a5f07	user_options->kernel_threads	0
TOP.656352de.000a5f07	user_options->keyspace	0
TOP.656352de.000a5f07	user_options->left	0
TOP.656352de.000a5f07	user_options->logfile_disable	0
TOP.656352de.000a5f07	user_options->loopback	0
TOP.656352de.000a5f07	user_options->machine_readable	0
TOP.656352de.000a5f07	user_options->markov_classic	0
TOP.656352de.000a5f07	user_options->markov_disable	0
TOP.656352de.000a5f07	user_options->markov_inverse	0
TOP.656352de.000a5f07	user_options->markov_threshold	256
TOP.656352de.000a5f07	user_options->multiply_accel_disable	0
TOP.656352de.000a5f07	user_options->backend_info	0
TOP.656352de.000a5f07	user_options->backend_vector_width	0
TOP.656352de.000a5f07	user_options->optimized_kernel_enable	0
TOP.656352de.000a5f07	user_options->outfile_autohex	1
TOP.656352de.000a5f07	user_options->outfile_check_timer	5
TOP.656352de.000a5f07	user_options->outfile_format	3
TOP.656352de.000a5f07	user_options->wordlist_autohex_disable	0
TOP.656352de.000a5f07	user_options->potfile_disable	0
TOP.656352de.000a5f07	user_options->progress_only	0
TOP.656352de.000a5f07	user_options->quiet	0
TOP.656352de.000a5f07	user_options->remove	0
TOP.656352de.000a5f07	user_options->remove_timer	60
TOP.656352de.000a5f07	user_options->restore	0
TOP.656352de.000a5f07	user_options->restore_disable	0
TOP.656352de.000a5f07	user_options->restore_timer	1
TOP.656352de.000a5f07	user_options->rp_files_cnt	0
TOP.656352de.000a5f07	user_options->rp_gen	0
TOP.656352de.000a5f07	user_options->rp_gen_func_max	4
TOP.656352de.000a5f07	user_options->rp_gen_func_min	1
TOP.656352de.000a5f07	user_options->rp_gen_seed	0
TOP.656352de.000a5f07	user_options->runtime	0
TOP.656352de.000a5f07	user_options->scrypt_tmto	0
TOP.656352de.000a5f07	user_options->segment_size	33554432
TOP.656352de.000a5f07	user_options->self_test_disable	0
TOP.656352de.000a5f07	user_options->slow_candidates	0
TOP.656352de.000a5f07	user_options->show	0
TOP.656352de.000a5f07	user_options->speed_only	0
TOP.656352de.000a5f07	user_options->spin_damp	0
TOP.656352de.000a5f07	user_options->status	0
TOP.656352de.000a5f07	user_options->status_json	0
TOP.656352de.000a5f07	user_options->status_timer	10
TOP.656352de.000a5f07	user_options->stdout_flag	0
TOP.656352de.000a5f07	user_options->usage	0
TOP.656352de.000a5f07	user_options->username	0
TOP.656352de.000a5f07	user_options->veracrypt_pim_start	485
TOP.656352de.000a5f07	user_options->veracrypt_pim_stop	485
TOP.656352de.000a5f07	user_options->version	0
TOP.656352de.000a5f07	user_options->workload_profile	2
TOP.656352de.000a5f07	user_options->brain_client	0
TOP.656352de.000a5f07	user_options->brain_client_features	2
TOP.656352de.000a5f07	user_options->brain_server	0
TOP.656352de.000a5f07	user_options->brain_server_timer	300
TOP.656352de.000a5f07	user_options->brain_port	6863
TOP.656352de.000a5f07	user_options->brain_session	0
TOP.656352de.000a5f07	hashes->hashfile	.\john-hashcat-crackfile.txt
TOP.656352de.000a5f07	hashes->hashlist_mode	5
TOP.656352de.000a5f07	hashes->hashlist_format	0
TOP.656352de.000a5f07	hashes->hashes_cnt	0
TOP.656352de.000a5f07	hashes->digests_cnt	1
TOP.656352de.000a5f07	hashes->digests_done_pot	0
TOP.656352de.000a5f07	hashes->digests_done_zero	0
TOP.656352de.000a5f07	hashes->digests_done	0
TOP.656352de.000a5f07	hashes->salts_cnt	1
TOP.656352de.000a5f07	hashes->salts_done	0
TOP.656352de.000a5f07	SUB.656352de.000c4a46	START
TOP.656352de.000a5f07	SUB.656352de.000c4a46	straight_ctx->dict	.\wordlist.txt
TOP.656352de.000a5f07	SUB.656352de.000c4a46	runtime_start	1701008094
TOP.656352de.000a5f07	SUB.656352de.000c4a46	runtime_stop	1701008094
TOP.656352de.000a5f07	SUB.656352de.000c4a46	hashes->digests_done_new	1
TOP.656352de.000a5f07	SUB.656352de.000c4a46	status-after-work	6
TOP.656352de.000a5f07	SUB.656352de.000c4a46	STOP
TOP.656352de.000a5f07	proc_start	1701008094
TOP.656352de.000a5f07	proc_stop	1701008095
TOP.656352de.000a5f07	STOP
TOP.6579c8ba.0001c430	START
TOP.6579c8ba.0001c430	folder_config->cwd	C:\Users\vtimashkov\Desktop\Учеба\Kerberoasting\examples\hashcat-6.2.6
TOP.6579c8ba.0001c430	folder_config->install_dir	.
TOP.6579c8ba.0001c430	folder_config->profile_dir	.
TOP.6579c8ba.0001c430	folder_config->session_dir	.
TOP.6579c8ba.0001c430	folder_config->shared_dir	.
TOP.6579c8ba.0001c430	user_options->encoding_from	utf-8
TOP.6579c8ba.0001c430	user_options->encoding_to	utf-8
TOP.6579c8ba.0001c430	user_options->rule_buf_l	:
TOP.6579c8ba.0001c430	user_options->rule_buf_r	:
TOP.6579c8ba.0001c430	user_options->session	hashcat
TOP.6579c8ba.0001c430	user_options->separator	:
TOP.6579c8ba.0001c430	user_options->limit	0
TOP.6579c8ba.0001c430	user_options->skip	0
TOP.6579c8ba.0001c430	user_options->attack_mode	0
TOP.6579c8ba.0001c430	user_options->benchmark	0
TOP.6579c8ba.0001c430	user_options->benchmark_all	0
TOP.6579c8ba.0001c430	user_options->bitmap_max	18
TOP.6579c8ba.0001c430	user_options->bitmap_min	16
TOP.6579c8ba.0001c430	user_options->debug_mode	0
TOP.6579c8ba.0001c430	user_options->hash_info	0
TOP.6579c8ba.0001c430	user_options->force	0
TOP.6579c8ba.0001c430	user_options->hwmon_disable	0
TOP.6579c8ba.0001c430	user_options->hwmon_temp_abort	90
TOP.6579c8ba.0001c430	user_options->hash_mode	0
TOP.6579c8ba.0001c430	user_options->hex_charset	0
TOP.6579c8ba.0001c430	user_options->hex_salt	0
TOP.6579c8ba.0001c430	user_options->hex_wordlist	0
TOP.6579c8ba.0001c430	user_options->hook_threads	8
TOP.6579c8ba.0001c430	user_options->identify	0
TOP.6579c8ba.0001c430	user_options->increment	0
TOP.6579c8ba.0001c430	user_options->increment_max	256
TOP.6579c8ba.0001c430	user_options->increment_min	1
TOP.6579c8ba.0001c430	user_options->keep_guessing	0
TOP.6579c8ba.0001c430	user_options->kernel_accel	0
TOP.6579c8ba.0001c430	user_options->kernel_loops	0
TOP.6579c8ba.0001c430	user_options->kernel_threads	0
TOP.6579c8ba.0001c430	user_options->keyspace	0
TOP.6579c8ba.0001c430	user_options->left	0
TOP.6579c8ba.0001c430	user_options->logfile_disable	0
TOP.6579c8ba.0001c430	user_options->loopback	0
TOP.6579c8ba.0001c430	user_options->machine_readable	0
TOP.6579c8ba.0001c430	user_options->markov_classic	0
TOP.6579c8ba.0001c430	user_options->markov_disable	0
TOP.6579c8ba.0001c430	user_options->markov_inverse	0
TOP.6579c8ba.0001c430	user_options->markov_threshold	256
TOP.6579c8ba.0001c430	user_options->multiply_accel_disable	0
TOP.6579c8ba.0001c430	user_options->backend_info	0
TOP.6579c8ba.0001c430	user_options->backend_vector_width	0
TOP.6579c8ba.0001c430	user_options->optimized_kernel_enable	0
TOP.6579c8ba.0001c430	user_options->outfile_autohex	1
TOP.6579c8ba.0001c430	user_options->outfile_check_timer	5
TOP.6579c8ba.0001c430	user_options->outfile_format	3
TOP.6579c8ba.0001c430	user_options->wordlist_autohex_disable	0
TOP.6579c8ba.0001c430	user_options->potfile_disable	0
TOP.6579c8ba.0001c430	user_options->progress_only	0
TOP.6579c8ba.0001c430	user_options->quiet	0
TOP.6579c8ba.0001c430	user_options->remove	0
TOP.6579c8ba.0001c430	user_options->remove_timer	60
TOP.6579c8ba.0001c430	user_options->restore	0
TOP.6579c8ba.0001c430	user_options->restore_disable	0
TOP.6579c8ba.0001c430	user_options->restore_timer	1
TOP.6579c8ba.0001c430	user_options->rp_files_cnt	0
TOP.6579c8ba.0001c430	user_options->rp_gen	0
TOP.6579c8ba.0001c430	user_options->rp_gen_func_max	4
TOP.6579c8ba.0001c430	user_options->rp_gen_func_min	1
TOP.6579c8ba.0001c430	user_options->rp_gen_seed	0
TOP.6579c8ba.0001c430	user_options->runtime	0
TOP.6579c8ba.0001c430	user_options->scrypt_tmto	0
TOP.6579c8ba.0001c430	user_options->segment_size	33554432
TOP.6579c8ba.0001c430	user_options->self_test_disable	0
TOP.6579c8ba.0001c430	user_options->slow_candidates	0
TOP.6579c8ba.0001c430	user_options->show	0
TOP.6579c8ba.0001c430	user_options->speed_only	0
TOP.6579c8ba.0001c430	user_options->spin_damp	0
TOP.6579c8ba.0001c430	user_options->status	1
TOP.6579c8ba.0001c430	user_options->status_json	0
TOP.6579c8ba.0001c430	user_options->status_timer	10
TOP.6579c8ba.0001c430	user_options->stdout_flag	0
TOP.6579c8ba.0001c430	user_options->usage	0
TOP.6579c8ba.0001c430	user_options->username	0
TOP.6579c8ba.0001c430	user_options->veracrypt_pim_start	485
TOP.6579c8ba.0001c430	user_options->veracrypt_pim_stop	485
TOP.6579c8ba.0001c430	user_options->version	0
TOP.6579c8ba.0001c430	user_options->workload_profile	2
TOP.6579c8ba.0001c430	user_options->brain_client	0
TOP.6579c8ba.0001c430	user_options->brain_client_features	2
TOP.6579c8ba.0001c430	user_options->brain_server	0
TOP.6579c8ba.0001c430	user_options->brain_server_timer	300
TOP.6579c8ba.0001c430	user_options->brain_port	6863
TOP.6579c8ba.0001c430	user_options->brain_session	0
TOP.6579c8e5.0008a046	START
TOP.6579c8e5.0008a046	folder_config->cwd	C:\Users\vtimashkov\Desktop\Учеба\Kerberoasting\examples\hashcat-6.2.6
TOP.6579c8e5.0008a046	folder_config->install_dir	.
TOP.6579c8e5.0008a046	folder_config->profile_dir	.
TOP.6579c8e5.0008a046	folder_config->session_dir	.
TOP.6579c8e5.0008a046	folder_config->shared_dir	.
TOP.6579c8e5.0008a046	user_options->encoding_from	utf-8
TOP.6579c8e5.0008a046	user_options->encoding_to	utf-8
TOP.6579c8e5.0008a046	user_options->rule_buf_l	:
TOP.6579c8e5.0008a046	user_options->rule_buf_r	:
TOP.6579c8e5.0008a046	user_options->session	hashcat
TOP.6579c8e5.0008a046	user_options->separator	:
TOP.6579c8e5.0008a046	user_options->limit	0
TOP.6579c8e5.0008a046	user_options->skip	0
TOP.6579c8e5.0008a046	user_options->attack_mode	0
TOP.6579c8e5.0008a046	user_options->benchmark	0
TOP.6579c8e5.0008a046	user_options->benchmark_all	0
TOP.6579c8e5.0008a046	user_options->bitmap_max	18
TOP.6579c8e5.0008a046	user_options->bitmap_min	16
TOP.6579c8e5.0008a046	user_options->debug_mode	0
TOP.6579c8e5.0008a046	user_options->hash_info	0
TOP.6579c8e5.0008a046	user_options->force	0
TOP.6579c8e5.0008a046	user_options->hwmon_disable	0
TOP.6579c8e5.0008a046	user_options->hwmon_temp_abort	90
TOP.6579c8e5.0008a046	user_options->hash_mode	0
TOP.6579c8e5.0008a046	user_options->hex_charset	0
TOP.6579c8e5.0008a046	user_options->hex_salt	0
TOP.6579c8e5.0008a046	user_options->hex_wordlist	0
TOP.6579c8e5.0008a046	user_options->hook_threads	8
TOP.6579c8e5.0008a046	user_options->identify	0
TOP.6579c8e5.0008a046	user_options->increment	0
TOP.6579c8e5.0008a046	user_options->increment_max	256
TOP.6579c8e5.0008a046	user_options->increment_min	1
TOP.6579c8e5.0008a046	user_options->keep_guessing	0
TOP.6579c8e5.0008a046	user_options->kernel_accel	0
TOP.6579c8e5.0008a046	user_options->kernel_loops	0
TOP.6579c8e5.0008a046	user_options->kernel_threads	0
TOP.6579c8e5.0008a046	user_options->keyspace	0
TOP.6579c8e5.0008a046	user_options->left	0
TOP.6579c8e5.0008a046	user_options->logfile_disable	0
TOP.6579c8e5.0008a046	user_options->loopback	0
TOP.6579c8e5.0008a046	user_options->machine_readable	0
TOP.6579c8e5.0008a046	user_options->markov_classic	0
TOP.6579c8e5.0008a046	user_options->markov_disable	0
TOP.6579c8e5.0008a046	user_options->markov_inverse	0
TOP.6579c8e5.0008a046	user_options->markov_threshold	256
TOP.6579c8e5.0008a046	user_options->multiply_accel_disable	0
TOP.6579c8e5.0008a046	user_options->backend_info	0
TOP.6579c8e5.0008a046	user_options->backend_vector_width	0
TOP.6579c8e5.0008a046	user_options->optimized_kernel_enable	0
TOP.6579c8e5.0008a046	user_options->outfile_autohex	1
TOP.6579c8e5.0008a046	user_options->outfile_check_timer	5
TOP.6579c8e5.0008a046	user_options->outfile_format	3
TOP.6579c8e5.0008a046	user_options->wordlist_autohex_disable	0
TOP.6579c8e5.0008a046	user_options->potfile_disable	0
TOP.6579c8e5.0008a046	user_options->progress_only	0
TOP.6579c8e5.0008a046	user_options->quiet	0
TOP.6579c8e5.0008a046	user_options->remove	0
TOP.6579c8e5.0008a046	user_options->remove_timer	60
TOP.6579c8e5.0008a046	user_options->restore	0
TOP.6579c8e5.0008a046	user_options->restore_disable	0
TOP.6579c8e5.0008a046	user_options->restore_timer	1
TOP.6579c8e5.0008a046	user_options->rp_files_cnt	0
TOP.6579c8e5.0008a046	user_options->rp_gen	0
TOP.6579c8e5.0008a046	user_options->rp_gen_func_max	4
TOP.6579c8e5.0008a046	user_options->rp_gen_func_min	1
TOP.6579c8e5.0008a046	user_options->rp_gen_seed	0
TOP.6579c8e5.0008a046	user_options->runtime	0
TOP.6579c8e5.0008a046	user_options->scrypt_tmto	0
TOP.6579c8e5.0008a046	user_options->segment_size	33554432
TOP.6579c8e5.0008a046	user_options->self_test_disable	0
TOP.6579c8e5.0008a046	user_options->slow_candidates	0
TOP.6579c8e5.0008a046	user_options->show	0
TOP.6579c8e5.0008a046	user_options->speed_only	0
TOP.6579c8e5.0008a046	user_options->spin_damp	0
TOP.6579c8e5.0008a046	user_options->status	1
TOP.6579c8e5.0008a046	user_options->status_json	0
TOP.6579c8e5.0008a046	user_options->status_timer	10
TOP.6579c8e5.0008a046	user_options->stdout_flag	0
TOP.6579c8e5.0008a046	user_options->usage	0
TOP.6579c8e5.0008a046	user_options->username	0
TOP.6579c8e5.0008a046	user_options->veracrypt_pim_start	485
TOP.6579c8e5.0008a046	user_options->veracrypt_pim_stop	485
TOP.6579c8e5.0008a046	user_options->version	0
TOP.6579c8e5.0008a046	user_options->workload_profile	2
TOP.6579c8e5.0008a046	user_options->brain_client	0
TOP.6579c8e5.0008a046	user_options->brain_client_features	2
TOP.6579c8e5.0008a046	user_options->brain_server	0
TOP.6579c8e5.0008a046	user_options->brain_server_timer	300
TOP.6579c8e5.0008a046	user_options->brain_port	6863
TOP.6579c8e5.0008a046	user_options->brain_session	0
TOP.6579c94d.000e73e5	START
TOP.6579c94d.000e73e5	folder_config->cwd	C:\Users\vtimashkov\Desktop\Учеба\Kerberoasting\examples\hashcat-6.2.6
TOP.6579c94d.000e73e5	folder_config->install_dir	.
TOP.6579c94d.000e73e5	folder_config->profile_dir	.
TOP.6579c94d.000e73e5	folder_config->session_dir	.
TOP.6579c94d.000e73e5	folder_config->shared_dir	.
TOP.6579c94d.000e73e5	user_options->encoding_from	utf-8
TOP.6579c94d.000e73e5	user_options->encoding_to	utf-8
TOP.6579c94d.000e73e5	user_options->rule_buf_l	:
TOP.6579c94d.000e73e5	user_options->rule_buf_r	:
TOP.6579c94d.000e73e5	user_options->session	hashcat
TOP.6579c94d.000e73e5	user_options->separator	:
TOP.6579c94d.000e73e5	user_options->limit	0
TOP.6579c94d.000e73e5	user_options->skip	0
TOP.6579c94d.000e73e5	user_options->attack_mode	0
TOP.6579c94d.000e73e5	user_options->benchmark	0
TOP.6579c94d.000e73e5	user_options->benchmark_all	0
TOP.6579c94d.000e73e5	user_options->bitmap_max	18
TOP.6579c94d.000e73e5	user_options->bitmap_min	16
TOP.6579c94d.000e73e5	user_options->debug_mode	0
TOP.6579c94d.000e73e5	user_options->hash_info	0
TOP.6579c94d.000e73e5	user_options->force	0
TOP.6579c94d.000e73e5	user_options->hwmon_disable	0
TOP.6579c94d.000e73e5	user_options->hwmon_temp_abort	90
TOP.6579c94d.000e73e5	user_options->hash_mode	0
TOP.6579c94d.000e73e5	user_options->hex_charset	0
TOP.6579c94d.000e73e5	user_options->hex_salt	0
TOP.6579c94d.000e73e5	user_options->hex_wordlist	0
TOP.6579c94d.000e73e5	user_options->hook_threads	8
TOP.6579c94d.000e73e5	user_options->identify	0
TOP.6579c94d.000e73e5	user_options->increment	0
TOP.6579c94d.000e73e5	user_options->increment_max	256
TOP.6579c94d.000e73e5	user_options->increment_min	1
TOP.6579c94d.000e73e5	user_options->keep_guessing	0
TOP.6579c94d.000e73e5	user_options->kernel_accel	0
TOP.6579c94d.000e73e5	user_options->kernel_loops	0
TOP.6579c94d.000e73e5	user_options->kernel_threads	0
TOP.6579c94d.000e73e5	user_options->keyspace	0
TOP.6579c94d.000e73e5	user_options->left	0
TOP.6579c94d.000e73e5	user_options->logfile_disable	0
TOP.6579c94d.000e73e5	user_options->loopback	0
TOP.6579c94d.000e73e5	user_options->machine_readable	0
TOP.6579c94d.000e73e5	user_options->markov_classic	0
TOP.6579c94d.000e73e5	user_options->markov_disable	0
TOP.6579c94d.000e73e5	user_options->markov_inverse	0
TOP.6579c94d.000e73e5	user_options->markov_threshold	256
TOP.6579c94d.000e73e5	user_options->multiply_accel_disable	0
TOP.6579c94d.000e73e5	user_options->backend_info	0
TOP.6579c94d.000e73e5	user_options->backend_vector_width	0
TOP.6579c94d.000e73e5	user_options->optimized_kernel_enable	0
TOP.6579c94d.000e73e5	user_options->outfile_autohex	1
TOP.6579c94d.000e73e5	user_options->outfile_check_timer	5
TOP.6579c94d.000e73e5	user_options->outfile_format	3
TOP.6579c94d.000e73e5	user_options->wordlist_autohex_disable	0
TOP.6579c94d.000e73e5	user_options->potfile_disable	0
TOP.6579c94d.000e73e5	user_options->progress_only	0
TOP.6579c94d.000e73e5	user_options->quiet	0
TOP.6579c94d.000e73e5	user_options->remove	0
TOP.6579c94d.000e73e5	user_options->remove_timer	60
TOP.6579c94d.000e73e5	user_options->restore	0
TOP.6579c94d.000e73e5	user_options->restore_disable	0
TOP.6579c94d.000e73e5	user_options->restore_timer	1
TOP.6579c94d.000e73e5	user_options->rp_files_cnt	0
TOP.6579c94d.000e73e5	user_options->rp_gen	0
TOP.6579c94d.000e73e5	user_options->rp_gen_func_max	4
TOP.6579c94d.000e73e5	user_options->rp_gen_func_min	1
TOP.6579c94d.000e73e5	user_options->rp_gen_seed	0
TOP.6579c94d.000e73e5	user_options->runtime	0
TOP.6579c94d.000e73e5	user_options->scrypt_tmto	0
TOP.6579c94d.000e73e5	user_options->segment_size	33554432
TOP.6579c94d.000e73e5	user_options->self_test_disable	0
TOP.6579c94d.000e73e5	user_options->slow_candidates	0
TOP.6579c94d.000e73e5	user_options->show	0
TOP.6579c94d.000e73e5	user_options->speed_only	0
TOP.6579c94d.000e73e5	user_options->spin_damp	0
TOP.6579c94d.000e73e5	user_options->status	1
TOP.6579c94d.000e73e5	user_options->status_json	0
TOP.6579c94d.000e73e5	user_options->status_timer	10
TOP.6579c94d.000e73e5	user_options->stdout_flag	0
TOP.6579c94d.000e73e5	user_options->usage	0
TOP.6579c94d.000e73e5	user_options->username	0
TOP.6579c94d.000e73e5	user_options->veracrypt_pim_start	485
TOP.6579c94d.000e73e5	user_options->veracrypt_pim_stop	485
TOP.6579c94d.000e73e5	user_options->version	0
TOP.6579c94d.000e73e5	user_options->workload_profile	2
TOP.6579c94d.000e73e5	user_options->brain_client	0
TOP.6579c94d.000e73e5	user_options->brain_client_features	2
TOP.6579c94d.000e73e5	user_options->brain_server	0
TOP.6579c94d.000e73e5	user_options->brain_server_timer	300
TOP.6579c94d.000e73e5	user_options->brain_port	6863
TOP.6579c94d.000e73e5	user_options->brain_session	0
TOP.6579c9d9.0003e0e0	START
TOP.6579c9d9.0003e0e0	folder_config->cwd	C:\Users\vtimashkov\Desktop\Учеба\Kerberoasting\examples\hashcat-6.2.6
TOP.6579c9d9.0003e0e0	folder_config->install_dir	.
TOP.6579c9d9.0003e0e0	folder_config->profile_dir	.
TOP.6579c9d9.0003e0e0	folder_config->session_dir	.
TOP.6579c9d9.0003e0e0	folder_config->shared_dir	.
TOP.6579c9d9.0003e0e0	user_options->encoding_from	utf-8
TOP.6579c9d9.0003e0e0	user_options->encoding_to	utf-8
TOP.6579c9d9.0003e0e0	user_options->rule_buf_l	:
TOP.6579c9d9.0003e0e0	user_options->rule_buf_r	:
TOP.6579c9d9.0003e0e0	user_options->session	hashcat
TOP.6579c9d9.0003e0e0	user_options->separator	:
TOP.6579c9d9.0003e0e0	user_options->limit	0
TOP.6579c9d9.0003e0e0	user_options->skip	0
TOP.6579c9d9.0003e0e0	user_options->attack_mode	0
TOP.6579c9d9.0003e0e0	user_options->benchmark	0
TOP.6579c9d9.0003e0e0	user_options->benchmark_all	0
TOP.6579c9d9.0003e0e0	user_options->bitmap_max	18
TOP.6579c9d9.0003e0e0	user_options->bitmap_min	16
TOP.6579c9d9.0003e0e0	user_options->debug_mode	0
TOP.6579c9d9.0003e0e0	user_options->hash_info	0
TOP.6579c9d9.0003e0e0	user_options->force	0
TOP.6579c9d9.0003e0e0	user_options->hwmon_disable	0
TOP.6579c9d9.0003e0e0	user_options->hwmon_temp_abort	90
TOP.6579c9d9.0003e0e0	user_options->hash_mode	0
TOP.6579c9d9.0003e0e0	user_options->hex_charset	0
TOP.6579c9d9.0003e0e0	user_options->hex_salt	0
TOP.6579c9d9.0003e0e0	user_options->hex_wordlist	0
TOP.6579c9d9.0003e0e0	user_options->hook_threads	8
TOP.6579c9d9.0003e0e0	user_options->identify	0
TOP.6579c9d9.0003e0e0	user_options->increment	0
TOP.6579c9d9.0003e0e0	user_options->increment_max	256
TOP.6579c9d9.0003e0e0	user_options->increment_min	1
TOP.6579c9d9.0003e0e0	user_options->keep_guessing	0
TOP.6579c9d9.0003e0e0	user_options->kernel_accel	0
TOP.6579c9d9.0003e0e0	user_options->kernel_loops	0
TOP.6579c9d9.0003e0e0	user_options->kernel_threads	0
TOP.6579c9d9.0003e0e0	user_options->keyspace	0
TOP.6579c9d9.0003e0e0	user_options->left	0
TOP.6579c9d9.0003e0e0	user_options->logfile_disable	0
TOP.6579c9d9.0003e0e0	user_options->loopback	0
TOP.6579c9d9.0003e0e0	user_options->machine_readable	0
TOP.6579c9d9.0003e0e0	user_options->markov_classic	0
TOP.6579c9d9.0003e0e0	user_options->markov_disable	0
TOP.6579c9d9.0003e0e0	user_options->markov_inverse	0
TOP.6579c9d9.0003e0e0	user_options->markov_threshold	256
TOP.6579c9d9.0003e0e0	user_options->multiply_accel_disable	0
TOP.6579c9d9.0003e0e0	user_options->backend_info	0
TOP.6579c9d9.0003e0e0	user_options->backend_vector_width	0
TOP.6579c9d9.0003e0e0	user_options->optimized_kernel_enable	0
TOP.6579c9d9.0003e0e0	user_options->outfile_autohex	1
TOP.6579c9d9.0003e0e0	user_options->outfile_check_timer	5
TOP.6579c9d9.0003e0e0	user_options->outfile_format	3
TOP.6579c9d9.0003e0e0	user_options->wordlist_autohex_disable	0
TOP.6579c9d9.0003e0e0	user_options->potfile_disable	0
TOP.6579c9d9.0003e0e0	user_options->progress_only	0
TOP.6579c9d9.0003e0e0	user_options->quiet	0
TOP.6579c9d9.0003e0e0	user_options->remove	0
TOP.6579c9d9.0003e0e0	user_options->remove_timer	60
TOP.6579c9d9.0003e0e0	user_options->restore	0
TOP.6579c9d9.0003e0e0	user_options->restore_disable	0
TOP.6579c9d9.0003e0e0	user_options->restore_timer	1
TOP.6579c9d9.0003e0e0	user_options->rp_files_cnt	0
TOP.6579c9d9.0003e0e0	user_options->rp_gen	0
TOP.6579c9d9.0003e0e0	user_options->rp_gen_func_max	4
TOP.6579c9d9.0003e0e0	user_options->rp_gen_func_min	1
TOP.6579c9d9.0003e0e0	user_options->rp_gen_seed	0
TOP.6579c9d9.0003e0e0	user_options->runtime	0
TOP.6579c9d9.0003e0e0	user_options->scrypt_tmto	0
TOP.6579c9d9.0003e0e0	user_options->segment_size	33554432
TOP.6579c9d9.0003e0e0	user_options->self_test_disable	0
TOP.6579c9d9.0003e0e0	user_options->slow_candidates	0
TOP.6579c9d9.0003e0e0	user_options->show	0
TOP.6579c9d9.0003e0e0	user_options->speed_only	0
TOP.6579c9d9.0003e0e0	user_options->spin_damp	0
TOP.6579c9d9.0003e0e0	user_options->status	1
TOP.6579c9d9.0003e0e0	user_options->status_json	0
TOP.6579c9d9.0003e0e0	user_options->status_timer	10
TOP.6579c9d9.0003e0e0	user_options->stdout_flag	0
TOP.6579c9d9.0003e0e0	user_options->usage	0
TOP.6579c9d9.0003e0e0	user_options->username	0
TOP.6579c9d9.0003e0e0	user_options->veracrypt_pim_start	485
TOP.6579c9d9.0003e0e0	user_options->veracrypt_pim_stop	485
TOP.6579c9d9.0003e0e0	user_options->version	0
TOP.6579c9d9.0003e0e0	user_options->workload_profile	2
TOP.6579c9d9.0003e0e0	user_options->brain_client	0
TOP.6579c9d9.0003e0e0	user_options->brain_client_features	2
TOP.6579c9d9.0003e0e0	user_options->brain_server	0
TOP.6579c9d9.0003e0e0	user_options->brain_server_timer	300
TOP.6579c9d9.0003e0e0	user_options->brain_port	6863
TOP.6579c9d9.0003e0e0	user_options->brain_session	0
TOP.6579ca08.000d79c4	START
TOP.6579ca08.000d79c4	folder_config->cwd	C:\Users\vtimashkov\Desktop\Учеба\Kerberoasting\examples\hashcat-6.2.6
TOP.6579ca08.000d79c4	folder_config->install_dir	.
TOP.6579ca08.000d79c4	folder_config->profile_dir	.
TOP.6579ca08.000d79c4	folder_config->session_dir	.
TOP.6579ca08.000d79c4	folder_config->shared_dir	.
TOP.6579ca08.000d79c4	user_options->encoding_from	utf-8
TOP.6579ca08.000d79c4	user_options->encoding_to	utf-8
TOP.6579ca08.000d79c4	user_options->rule_buf_l	:
TOP.6579ca08.000d79c4	user_options->rule_buf_r	:
TOP.6579ca08.000d79c4	user_options->session	hashcat
TOP.6579ca08.000d79c4	user_options->separator	:
TOP.6579ca08.000d79c4	user_options->limit	0
TOP.6579ca08.000d79c4	user_options->skip	0
TOP.6579ca08.000d79c4	user_options->attack_mode	0
TOP.6579ca08.000d79c4	user_options->benchmark	0
TOP.6579ca08.000d79c4	user_options->benchmark_all	0
TOP.6579ca08.000d79c4	user_options->bitmap_max	18
TOP.6579ca08.000d79c4	user_options->bitmap_min	16
TOP.6579ca08.000d79c4	user_options->debug_mode	0
TOP.6579ca08.000d79c4	user_options->hash_info	0
TOP.6579ca08.000d79c4	user_options->force	0
TOP.6579ca08.000d79c4	user_options->hwmon_disable	0
TOP.6579ca08.000d79c4	user_options->hwmon_temp_abort	90
TOP.6579ca08.000d79c4	user_options->hash_mode	0
TOP.6579ca08.000d79c4	user_options->hex_charset	0
TOP.6579ca08.000d79c4	user_options->hex_salt	0
TOP.6579ca08.000d79c4	user_options->hex_wordlist	0
TOP.6579ca08.000d79c4	user_options->hook_threads	8
TOP.6579ca08.000d79c4	user_options->identify	0
TOP.6579ca08.000d79c4	user_options->increment	0
TOP.6579ca08.000d79c4	user_options->increment_max	256
TOP.6579ca08.000d79c4	user_options->increment_min	1
TOP.6579ca08.000d79c4	user_options->keep_guessing	0
